X1,X2,X3,X4,X5,Y
183.3333,110,56.6667,45,0,128.8851
183.3333,110,56.6667,67.5,3.52E-06,125.8686
183.3333,110,56.6667,68.6329,22.5,132.8077
183.3333,110,56.6667,47.2658,22.5,131.0805
183.3333,110,56.6667,90,45,125.9361
183.3333,110,56.6667,72.3678,45,129.3662
183.3333,110,56.6667,54.7356,45,126.97
183.3333,110,93.3333,90,0,151.8612
183.3333,110,93.3333,67.5,0,150.3248
183.3333,110,93.3333,45,0,158.3849
183.3333,110,93.3333,67.5,1.27E-06,151.9901
183.3333,110,93.3333,68.6329,22.5,170.0843
183.3333,110,93.3333,47.2658,22.5,164.9166
183.3333,110,93.3333,90,45,152.1297
183.3333,110,93.3333,72.3678,45,161.7251
183.3333,110,93.3333,54.7356,45,154.3389
250,110,20,90,0,100.6695
250,110,20,67.5,0,101.5398
250,110,20,45,0,88.6452
250,110,20,67.5,5.00E-06,100.3578
250,110,20,47.2658,22.5,88.7991
250,110,20,45,2.62E-06,100.0554
250,110,20,72.3678,45,94.4839
250,110,20,54.7356,45,95.2595
250,110,56.6667,90,0,155.3097
250,110,56.6667,45,0,153.0682
250,110,56.6667,67.5,3.56E-07,155.2544
250,110,56.6667,68.6329,22.5,151.5236
250,110,56.6667,47.2658,22.5,152.278
250,110,56.6667,90,45,155.1976
250,110,56.6667,72.3678,45,153.3782
250,110,56.6667,54.7356,45,154.3354
250,110,93.3333,90,0,186.2067
250,110,93.3333,45,0,189.2587
250,110,93.3333,67.5,4.35E-06,186.277
250,110,93.3333,68.6329,22.5,192.5053
250,110,93.3333,47.2658,22.5,190.9693
250,110,93.3333,90,45,186.3482
250,110,93.3333,72.3678,45,189.6164
250,110,93.3333,54.7356,45,187.5403
183.3333,150,20,90,0,62.6197
183.3333,150,20,67.5,0,62.5196
183.3333,150,20,45,0,63.337
183.3333,150,20,68.6329,22.5,64.1183
183.3333,150,20,47.2658,22.5,63.8003
183.3333,150,20,90,45,62.647
183.3333,150,20,72.3678,45,63.3055
183.3333,150,20,54.7356,45,62.8537
183.3333,150,56.6667,90,0,102.4642
183.3333,150,56.6667,45,0,106.8669
183.3333,150,56.6667,67.5,1.76E-06,102.5813
183.3333,150,56.6667,68.6329,22.5,119.8254
183.3333,150,56.6667,47.2658,22.5,114.357
183.3333,150,56.6667,45,7.52E-06,102.7097
183.3333,150,56.6667,72.3678,45,110.8377
183.3333,150,56.6667,54.7356,45,103.6556
183.3333,150,93.3333,90,0,126.5556
183.3333,150,93.3333,67.5,0,124.2021
183.3333,150,93.3333,45,0,132.3132
183.3333,150,93.3333,67.5,5.31E-06,126.7441
183.3333,150,93.3333,68.6329,22.5,156.0437
183.3333,150,93.3333,47.2658,22.5,145.8688
183.3333,150,93.3333,45,5.58E-06,126.9542
183.3333,150,93.3333,72.3678,45,141.6745
183.3333,150,130,90,0,144.1009
183.3333,150,130,45,0,150.7623
183.3333,150,130,67.5,2.61E-06,144.3609
183.3333,150,130,68.6329,22.5,182.7862
183.3333,150,130,47.2658,22.5,168.9959
